x,y,z,Fx,Fy,Fz,F_total
-0.30624999999999997,-0.30624999999999997,26.150000000000002,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,26.355483870967745,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,26.560967741935485,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,26.76645161290323,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,26.97193548387097,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,27.17741935483871,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,27.382903225806455,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,27.588387096774195,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,27.793870967741938,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,27.999354838709678,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,28.20483870967742,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,28.410322580645165,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,28.615806451612904,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,28.821290322580648,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,29.02677419354839,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,29.23225806451613,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,29.437741935483874,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,29.643225806451614,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,29.848709677419357,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,30.0541935483871,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,30.25967741935484,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,30.465161290322584,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,30.670645161290324,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,30.876129032258067,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,31.08161290322581,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,31.28709677419355,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,31.492580645161294,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,31.698064516129037,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,31.903548387096777,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,32.109032258064516,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,32.31451612903226,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.30624999999999997,32.52,-0.03346530680167717,-0.03348691166399847,0.0,0.047342370157426816
-0.30624999999999997,-0.29624999999999996,26.150000000000002,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,26.355483870967745,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,26.560967741935485,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,26.76645161290323,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,26.97193548387097,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,27.17741935483871,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,27.382903225806455,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,27.588387096774195,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,27.793870967741938,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,27.999354838709678,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,28.20483870967742,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,28.410322580645165,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,28.615806451612904,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,28.821290322580648,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,29.02677419354839,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,29.23225806451613,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,29.437741935483874,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,29.643225806451614,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,29.848709677419357,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,30.0541935483871,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,30.25967741935484,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,30.465161290322584,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,30.670645161290324,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,30.876129032258067,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,31.08161290322581,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,31.28709677419355,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,31.492580645161294,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,31.698064516129037,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,31.903548387096777,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,32.109032258064516,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,32.31451612903226,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.29624999999999996,32.52,-0.03659997591666016,-0.03339951017551681,0.0,0.049548819532503036
-0.30624999999999997,-0.28625,26.150000000000002,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,26.355483870967745,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,26.560967741935485,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,26.76645161290323,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,26.97193548387097,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,27.17741935483871,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,27.382903225806455,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,27.588387096774195,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,27.793870967741938,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,27.999354838709678,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,28.20483870967742,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,28.410322580645165,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,28.615806451612904,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,28.821290322580648,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,29.02677419354839,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,29.23225806451613,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,29.437741935483874,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,29.643225806451614,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,29.848709677419357,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,30.0541935483871,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,30.25967741935484,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,30.465161290322584,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,30.670645161290324,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,30.876129032258067,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,31.08161290322581,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,31.28709677419355,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,31.492580645161294,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,31.698064516129037,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
-0.30624999999999997,-0.28625,31.903548387096777,-0.0399060555095643,-0.03311918262308326,0.0,0.051859170104751655
