 0 3000001 137.869 -31.5327 337.737 417.215 200
 0 -3000001 -137.869 31.5327 180.085 304.028 200
 1 3000001 103.991 116.297 497.505 558.435 200
 1 -3000001 -103.991 -116.297 1624.54 1644.22 200
 2 3000001 150.653 32.1184 -578.946 631.59 200
 2 -3000001 -150.653 -32.1184 -1607.9 1627.6 200
 3 3000001 6.06556 246.707 367.96 486.102 200
 3 -3000001 -6.06556 -246.707 555.232 639.674 200
 4 3000001 52.4124 -57.1114 -306.19 373.846 200
 4 -3000001 -52.4124 57.1114 -803.556 831.692 200
 5 3000001 49.2119 109.579 51.8723 238.998 200
 5 -3000001 -49.2119 -109.579 195.384 304.309 200
 6 3000001 106.654 -78.2207 -2296.21 2308.7 200.001
 6 -3000001 -106.815 78.7752 -1009.67 1037.81 200
 7 3000001 -169.71 -221.635 1007.19 1064.12 200
 7 -3000001 168.438 221.681 2772.85 2793.96 199.999
 8 3000001 107.54 19.6975 69.3317 238.243 200
 8 -3000001 -107.54 -19.6975 49.9897 233.349 200
 9 3000001 55.8231 12.6702 -567.353 604.29 200
 9 -3000001 -55.8231 -12.6702 -144.21 253.127 200
 10 3000001 91.5667 50.4983 568.31 611.483 200
 10 -3000001 -91.5667 -50.4983 39.4724 229.113 200
 11 3000001 -23.8268 -53.011 -1211.77 1229.54 200
 11 -3000001 23.8268 53.011 -1939.09 1950.24 200
 12 3000001 -74.9326 32.1303 443.377 493.184 200
 12 -3000001 74.9326 -32.1303 810.965 839.232 200
 13 3000001 -39.467 30.6293 -124.564 240.857 200
 13 -3000001 39.5162 -30.5662 -118.109 237.583 200
 14 3000001 -77.7667 -27.5395 -113.275 244.208 200
 14 -3000001 77.7667 27.5395 -55.7809 223.422 200
 15 3000001 99.2688 116.695 -595.361 646.473 200
 15 -3000001 -98.9019 -116.548 -500.394 560.142 200
 16 3000001 18.9374 44.6898 -1205.68 1223.12 200
 16 -3000001 -18.9711 -45.5028 -1358.91 1374.44 200.001
 17 3000001 239.277 424.665 -677.565 858.306 200
 17 -3000001 -239.277 -424.665 -1890.02 1962.08 200
 18 3000001 89.8419 168.838 -67.4973 284.84 200
 18 -3000001 -89.8419 -168.838 -298.336 406.918 200
 19 3000001 6.18895 -124.462 -1361.14 1381.39 200
 19 -3000001 -6.18895 124.462 -1057.83 1083.76 200
 20 3000001 21.9305 -88.6402 -129.857 255.345 200
 20 -3000001 -21.9305 88.6402 -312.737 382.286 200
 21 3000001 -60.2691 19.9262 -260.875 334.792 200
 21 -3000001 60.2691 -19.9262 -124.795 244.138 200
 22 3000001 57.0193 74.4888 -508.053 554.002 200
 22 -3000001 -57.0193 -74.4888 -232.483 320.7 200
 23 3000001 64.9481 -75.2158 2527.78 2537.62 200.001
 23 -3000001 -64.9481 75.2158 687.438 722.805 200
 24 3000001 31.3452 32.0523 289.819 354.972 200
 24 -3000001 -31.3452 -32.0523 554.358 591.035 200
 25 3000001 -55.2736 80.1348 -73.8414 234.37 200
 25 -3000001 55.2736 -80.1348 -167.029 278.164 200
 26 3000001 -130.06 -218.597 934.24 988.689 200
 26 -3000001 129.017 218.435 3538.18 3552.9 200.001
 27 3000001 152.089 -76.6727 1928.13 1945.95 200
 27 -3000001 -151.004 77.4 1769.38 1788.72 200.001
 28 3000001 14.5456 -122.226 1321.91 1342.61 200.001
 28 -3000001 -14.5456 122.226 178.68 295.089 200
 29 3000001 -53.2059 44.2564 -812.995 840.09 200
 29 -3000001 53.2059 -44.2564 -571.156 609.104 200
 30 3000001 6.04358 90.4262 1361.56 1379.15 200
 30 -3000001 -6.04358 -90.4262 1038.12 1061.09 200
 31 3000001 38.5273 111.55 909.76 938.931 200
 31 -3000001 -38.5273 -111.55 249.745 341.029 200
 32 3000001 61.602 88.1045 1202.2 1223.45 200
 32 -3000001 -61.602 -88.1045 966.399 992.715 200
 33 3000001 146.847 69.6034 640.855 690.727 200
 33 -3000001 -146.847 -69.6034 458.573 526.021 200
 34 3000001 -90.2458 141.441 78.7228 272.667 200
 34 -3000001 90.1568 -141.533 405.456 482.239 200
 35 3000001 75.205 46.1915 1382.47 1399.64 200.001
 35 -3000001 -75.205 -46.1915 235.184 321.093 200
 36 3000001 7.84584 107.636 41.0716 230.941 200
 36 -3000001 -7.84584 -107.636 288.838 367.525 200
 37 3000001 6.57952 12.3504 -37.9168 204.043 200
 37 -3000001 -6.57952 -12.3504 -461.146 502.843 200
 38 3000001 -225.358 305.804 992.36 1081.24 200
 38 -3000001 225.358 -305.804 -58.3091 433.246 200
